source,split,folder,filename,person_index,n_annotators,raw_categories_majority,emotion_classes,dropped_categories,bbox,label_status,reviewer_note
emotic,train,mscoco/images,COCO_val2014_000000221521.jpg,0,1,Engagement,,Engagement,87.0;42.0;180.0;244.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000457168.jpg,0,1,Engagement,,Engagement,430.0;27.0;569.0;338.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000186246.jpg,0,1,Engagement,,Engagement,347.0;169.0;452.0;456.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000481931.jpg,0,1,Engagement,,Engagement,199.0;21.0;334.0;278.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_8z9jb1ci5zo2x7tt.jpg,0,1,Engagement,,Engagement,232.0;63.0;528.0;603.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_8z9jb1ci5zo2x7tt.jpg,1,1,Engagement,,Engagement,559.0;138.0;892.0;608.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_8z9jb1ci5zo2x7tt.jpg,2,1,Engagement,,Engagement,512.0;220.0;654.0;405.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_8z9jb1ci5zo2x7tt.jpg,3,1,Engagement,,Engagement,1.0;48.0;162.0;606.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000412720.jpg,0,1,Engagement,,Engagement,292.0;142.0;458.0;306.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000412720.jpg,1,1,Engagement,,Engagement,75.0;116.0;218.0;275.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000509419.jpg,0,1,Engagement,,Engagement,157.0;40.0;394.0;459.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_val2014_000000581328.jpg,0,1,Engagement,,Engagement,235.0;127.0;431.0;479.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000466845.jpg,0,1,Engagement,,Engagement,510.0;42.0;609.0;419.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_isu79b1cwubdfhmg.jpg,0,1,Engagement,,Engagement,472.0;43.0;835.0;473.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_e2f1a6s2780ils40.jpg,1,1,Engagement,,Engagement,721.0;542.0;835.0;786.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_val2014_000000242543.jpg,0,1,Engagement,,Engagement,177.0;152.0;388.0;469.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_val2014_000000146667.jpg,0,1,Engagement,,Engagement,251.0;37.0;455.0;305.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_5mtdu6yxgkltk8nc.jpg,0,1,Engagement,,Engagement,132.0;186.0;209.0;436.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_aikchmxpza1lzk85.jpg,0,1,Engagement,,Engagement,495.0;94.0;609.0;404.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_aikchmxpza1lzk85.jpg,1,1,Engagement,,Engagement,311.0;93.0;516.0;402.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_7diuhdr9mxx153xs.jpg,0,1,Engagement,,Engagement,387.0;470.0;495.0;659.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000109095.jpg,0,1,Engagement,,Engagement,303.0;111.0;459.0;383.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_dqx3pak8cayina6c.jpg,0,1,Engagement,,Engagement,590.0;537.0;901.0;1401.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000208945.jpg,0,1,Engagement,,Engagement,113.0;40.0;246.0;388.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_val2014_000000477805.jpg,0,1,Engagement,,Engagement,383.0;12.0;584.0;386.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000203798.jpg,0,1,Engagement,,Engagement,238.0;113.0;374.0;335.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_agwju3cp0bxlvxbo.jpg,0,1,Engagement,,Engagement,432.0;204.0;626.0;408.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_3y7ongmmed2hmgec.jpg,0,1,Engagement,,Engagement,506.0;237.0;542.0;335.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_d3mgf5t00jbvpkm3.jpg,0,1,Engagement,,Engagement,438.0;176.0;575.0;365.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_val2014_000000184611.jpg,0,1,Engagement,,Engagement,104.0;107.0;284.0;453.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_val2014_000000154816.jpg,0,1,Engagement,,Engagement,229.0;146.0;378.0;354.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_val2014_000000154816.jpg,2,1,Engagement,,Engagement,384.0;36.0;544.0;313.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000483769.jpg,1,1,Engagement,,Engagement,59.0;169.0;214.0;336.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000490801.jpg,1,1,Engagement,,Engagement,18.0;283.0;218.0;500.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000450761.jpg,0,1,Engagement,,Engagement,138.0;109.0;244.0;378.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000572215.jpg,0,1,Engagement,,Engagement,242.0;53.0;443.0;393.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_4tdwa014fryeivdi.jpg,1,1,Engagement,,Engagement,169.0;53.0;335.0;686.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000469667.jpg,0,1,Surprise,,Surprise,42.0;5.0;435.0;328.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_0aq5syw399y8i84x.jpg,0,1,Engagement,,Engagement,1947.0;755.0;2580.0;2111.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_eqqloog40nrqm6m0.jpg,0,1,Engagement,,Engagement,458.0;141.0;500.0;268.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_74lvswsq4ypb5np5.jpg,0,1,Engagement,,Engagement,262.0;60.0;418.0;430.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_74lvswsq4ypb5np5.jpg,1,1,Engagement,,Engagement,157.0;126.0;211.0;210.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_5hqdsljyhnp6xwbc.jpg,0,1,Engagement,,Engagement,100.0;185.0;192.0;355.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_val2014_000000484893.jpg,0,1,Engagement,,Engagement,270.0;240.0;525.0;422.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000177658.jpg,0,1,Engagement,,Engagement,316.0;5.0;506.0;298.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000177658.jpg,1,1,Engagement,,Engagement,206.0;85.0;370.0;343.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_1ubbcnyc274khdlu.jpg,0,1,Engagement,,Engagement,513.0;63.0;599.0;440.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_i1gbq80jq8yd2tjk.jpg,0,1,Engagement,,Engagement,113.0;150.0;203.0;383.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_i1gbq80jq8yd2tjk.jpg,1,1,Engagement,,Engagement,368.0;162.0;452.0;336.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_i1gbq80jq8yd2tjk.jpg,2,1,Engagement,,Engagement,206.0;132.0;286.0;343.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_val2014_000000543025.jpg,0,1,Engagement,,Engagement,76.0;44.0;190.0;401.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000356006.jpg,0,1,Engagement,,Engagement,92.0;198.0;246.0;376.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000473373.jpg,0,1,Engagement,,Engagement,170.0;8.0;426.0;309.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_val2014_000000470952.jpg,0,1,Engagement,,Engagement,252.0;37.0;380.0;398.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000236759.jpg,0,1,Engagement,,Engagement,198.0;17.0;541.0;479.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000513657.jpg,0,1,Engagement,,Engagement,277.0;169.0;407.0;404.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_57juemniopi37pnb.jpg,1,1,Engagement,,Engagement,346.0;150.0;442.0;477.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_57juemniopi37pnb.jpg,2,1,Engagement,,Engagement,100.0;165.0;233.0;487.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_57juemniopi37pnb.jpg,3,1,Engagement,,Engagement,360.0;291.0;623.0;484.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_val2014_000000581245.jpg,0,1,Engagement,,Engagement,305.0;11.0;628.0;422.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,ade20k/images,sun_deeiqqckmjalhvyj.jpg,0,1,Engagement,,Engagement,78.0;32.0;177.0;154.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_h43vok560prd2fs0.jpg,1,1,Engagement,,Engagement,601.0;160.0;788.0;548.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_h43vok560prd2fs0.jpg,2,1,Engagement,,Engagement,20.0;285.0;200.0;722.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_h43vok560prd2fs0.jpg,3,1,Engagement,,Engagement,193.0;256.0;266.0;360.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_b4zarwebaimcsflc.jpg,0,1,Engagement,,Engagement,28.0;13.0;217.0;368.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_b4zarwebaimcsflc.jpg,1,1,Engagement,,Engagement,385.0;10.0;506.0;369.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000251754.jpg,2,1,Engagement,,Engagement,85.0;70.0;193.0;431.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_dy0xnq4fy1sn1ra8.jpg,4,1,Engagement,,Engagement,1386.0;864.0;1745.0;1376.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_bkl5huma5k3qm9ud.jpg,0,1,Engagement,,Engagement,660.0;46.0;741.0;167.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_6nbgydw6c7wdnzx1.jpg,0,1,Engagement,,Engagement,29.0;568.0;123.0;680.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_gdirkxdgr1qxyd90.jpg,1,1,Engagement,,Engagement,916.0;37.0;1178.0;632.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000220226.jpg,0,1,Engagement,,Engagement,178.0;74.0;448.0;474.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_iki3j35k80cw0t6v.jpg,0,1,Engagement,,Engagement,1126.0;329.0;1317.0;571.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_val2014_000000260994.jpg,0,1,Engagement,,Engagement,109.0;32.0;359.0;420.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000476681.jpg,1,1,Engagement,,Engagement,256.0;81.0;361.0;352.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_val2014_000000072155.jpg,0,1,Engagement,,Engagement,243.0;5.0;399.0;329.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000039434.jpg,0,1,Engagement,,Engagement,318.0;35.0;493.0;346.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_val2014_000000119513.jpg,0,1,Engagement,,Engagement,190.0;12.0;477.0;296.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000447082.jpg,0,1,Engagement,,Engagement,171.0;73.0;310.0;255.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_5trqiebh1s6h9lg6.jpg,3,1,Engagement,,Engagement,1503.0;326.0;1604.0;696.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,ade20k/images,sun_aoumcxqghppwjchf.jpg,0,1,Engagement,,Engagement,188.0;263.0;756.0;779.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000350518.jpg,0,1,Engagement,,Engagement,97.0;81.0;491.0;367.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000508008.jpg,1,1,Engagement,,Engagement,426.0;110.0;577.0;425.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_f7ug2vo8642m68mc.jpg,0,1,Engagement,,Engagement,452.0;430.0;505.0;523.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000122667.jpg,2,1,Engagement,,Engagement,420.0;138.0;566.0;401.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000493626.jpg,1,1,Engagement,,Engagement,360.0;147.0;522.0;361.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_c7rgu8lcfcbwcbcd.jpg,2,1,Engagement,,Engagement,7.0;1706.0;565.0;2390.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_la2fvhvjg7p3dlzd.jpg,0,1,Engagement,,Engagement,684.0;177.0;1012.0;683.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000253945.jpg,1,1,Engagement,,Engagement,242.0;56.0;344.0;355.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000104304.jpg,0,1,Engagement,,Engagement,144.0;130.0;444.0;396.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_9i3etcf4ntg4l92r.jpg,0,1,Engagement,,Engagement,27.0;54.0;465.0;913.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_9i3etcf4ntg4l92r.jpg,2,1,Engagement,,Engagement,788.0;134.0;1299.0;883.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_3rckpa29ai79euvo.jpg,0,1,Engagement,,Engagement,88.0;202.0;152.0;367.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_3rckpa29ai79euvo.jpg,1,1,Engagement,,Engagement,162.0;171.0;198.0;303.0,reconstructed_approx,excluded_no_mapped_emotion_class
